id,gender,age,hypertension,heart_disease,ever_married,work_type,Residence_type,avg_glucose_level,bmi,smoking_status,Country,dob,full_name,ssn
36306,Male,80,0,0,Yes,Private,Urban,83.84,21.1,formerly smoked,US,1938-11-18,Laurie Feliciano,636178129
61829,Female,74,0,1,Yes,Self-employed,Rural,179.5,26,formerly smoked,US,1945-10-11,Frances Hendrie,978215450
14152,Female,14,0,0,No,children,Rural,95.16,21.2,,US,2004-11-16,Jason Best,776159646
12997,Male,28,0,0,No,Private,Urban,94.76,23.4,,US,1990-10-13,Ernestine Gilchrist,878594530
40801,Female,63,0,0,Yes,Govt_job,Rural,83.57,27.6,never smoked,US,1956-09-01,William Santos,820473544
9348,Female,66,1,0,Yes,Private,Urban,219.98,32.2,never smoked,US,1953-03-19,Phyllis Burton,536861873
51550,Female,49,0,0,Yes,Self-employed,Rural,74.03,25.1,,US,1970-01-08,Edna Lucas,277163980
60512,Male,46,0,0,Yes,Govt_job,Urban,120.8,32.5,never smoked,US,1973-01-13,Morgan Steins,850513216
31309,Female,75,0,0,Yes,Self-employed,Rural,78.71,28,never smoked,US,1944-09-25,Cynthia Huges,046651089
39199,Male,75,0,0,Yes,Self-employed,Urban,77.2,25.7,smokes,US,1944-09-15,Nancy Casanova,445352712
15160,Female,17,0,0,No,Private,Rural,78.16,21.9,,US,2001-11-14,Crystal Peckham,026702961
21705,Female,10,0,0,No,children,Urban,107.23,19.4,,US,2009-06-12,Melony Saxman,649938869
19042,Female,47,0,0,Yes,Private,Rural,91.6,26.7,never smoked,US,1972-05-07,Maria Shepard,557669872
12249,Female,42,0,0,Yes,Private,Urban,83.05,32.3,,US,1977-04-10,Mark Curtis,658797575
33104,Female,67,0,0,Yes,Govt_job,Urban,236.6,24.2,never smoked,US,1951-12-23,Timothy Storjohann,598878693
55264,Female,52,0,0,No,Self-employed,Urban,109.49,24.5,never smoked,US,1967-01-15,Alberta Nye,488014183
29445,Male,73,0,0,Yes,Self-employed,Rural,109.66,40,,US,1946-08-07,Ramon Brady,797360091
49013,Female,19,0,0,No,Private,Rural,88.51,22.1,,US,2000-05-03,Jeanna Blackmon,490123539
276,Male,15,0,0,No,children,Rural,101.36,22.3,,US,2004-09-30,Elizabeth Murphy,294283640
47721,Female,37,0,0,Yes,Govt_job,Urban,165.44,36.1,formerly smoked,US,1982-08-25,Grace Mitchell,252743903
19656,Male,59,1,0,Yes,Self-employed,Rural,101.06,33.3,formerly smoked,US,1959-12-24,Nancy Hernandez,608042030
35806,Male,45,0,0,Yes,Private,Urban,81.54,36.3,smokes,US,1974-06-21,Patricia Wagner,840530002
70637,Female,44,0,0,Yes,Private,Rural,150.06,22.2,never smoked,US,1975-08-04,Veronica Crain,494781393
62010,Female,13,0,0,No,children,Urban,87.79,20.5,formerly smoked,US,2006-01-06,Yvonne Mcnally,409567066
67576,Female,82,0,0,Yes,Private,Rural,205.8,36.5,formerly smoked,US,1937-01-24,Shirley Bean,201934098
31774,Male,66,1,1,Yes,Private,Rural,93.79,33.1,never smoked,US,1953-06-22,Wendy Evans,237984438
43822,Male,42,0,0,Yes,Govt_job,Rural,60.6,26.9,,US,1977-05-24,Martha Humble,853791516
27445,Female,47,0,0,Yes,Private,Urban,94.8,40.6,never smoked,US,1971-10-28,Leslie Hunt,636778110
35817,Male,57,0,0,Yes,Private,Urban,75.12,27.7,,US,1962-06-25,Alice Guy,615546260
26363,Male,75,0,0,Yes,Private,Urban,116.78,22.4,smokes,US,1944-05-08,Adam Welch,309332422
44463,Male,44,1,0,Yes,Private,Rural,150.14,35.1,never smoked,US,1975-03-07,Robert Magic,468453920
17002,Male,64,0,1,Yes,Private,Rural,212.68,25.5,never smoked,US,1955-05-26,Brian Buss,732251036
